name,type,lat,lon
Rising sun,pub,51.74983720790256,-2.576086530340439
The woodman Inn,pub,51.769920279681266,-2.561496714998333
The fountain inn,pub,51.7679,-2.5576
Bream Cricket Club,pub,51.75067711065454,-2.5762027880112495
Miners Arms,pub,51.7534,-2.5529
The Bailey Inn,pub,51.7610,-2.5274
Woodlands Freehouse,pub,51.8138,-2.5014
White Horse Inn,pub,51.79288801490602,-2.49717371606072
The crown Inn,pub,51.79061864880556,-2.5912200535426506
Nags Head,pub,51.81845809014719,-2.50210272723544
Fern Ticket,pub,51.82461224527848,-2.4966953941909256
GamesKeeper’s Inn,pub,51.80962319810399,-2.5997007825232266
Woorgreens Lake,lake,51.81303756198987,-2.5379332692648453
Speech House Lake,lake,51.79949209125537,-2.5434507599304843
Cannop Brook,lake,51.79504861791836,-2.5685625463004227
Cannop Brook,lake,51.78939796402502,-2.570044682593188
Mallards Pike,lake,51.781083756607416,-2.526762827973701
Steam Mills Lake,lake,51.83598622949904,-2.519331742349351
The Orepool Inn,pub,51.77072082462458,-2.6112207873721442
New Fancy View Point,view,51.783517338204184,-2.539281772668828
Blaize Bailey View Point,view,51.80486969569891,-2.479566386162095
Symmonds Yat Rock,view,51.83103205833124,-2.631798752695805
Soudley Ponds,lake,51.79401370209582,-2.49190231529399
